./mnist-linear.py 0.1 0.1 0.5 > teste4.log

Validação:  0.7531746031746032
Teste:      0.7515714285714286
Classification Report:                precision    recall  f1-score   support

           0       0.86      0.86      0.86       683
           1       0.85      0.90      0.87       800
           2       0.70      0.82      0.76       674
           3       0.68      0.73      0.71       760
           4       0.70      0.78      0.74       611
           5       0.70      0.53      0.60       658
           6       0.82      0.81      0.81       677
           7       0.82      0.85      0.84       724
           8       0.70      0.59      0.64       693
           9       0.66      0.63      0.65       720

    accuracy                           0.75      7000
   macro avg       0.75      0.75      0.75      7000
weighted avg       0.75      0.75      0.75      7000

